0,1,2,3,4,5
FTL,TPM1,MT-ND1,NTS,ALDH1A1,CDC42EP3
ALDH3A1,PMEPA1,MT-ND3,PRELID1,TMSB4X,DERL1
AKR1B10,RPL28,MT-CO3,ANXA1,KRT18,TCEAL4
GPX2,ACTG1,MT-ND4,RACK1,RPS19,COIL
TXN,TPM2,MT-ATP6,GAPDH,RPS14,CHCHD6
FTH1,CAV1,MT-CO2,NHP2,RPL36A,IRF3
AKR1C2,TGFBI,MT-CO1,CPS1,RPL27A,WDR45B
AKR1C3,KRT7,MT-CYB,LAMTOR5,RPS3A,SUPT4H1
NQO1,CFL1,MT-ND2,POLR2L,RPLP1,SNHG5
AGR2,TAGLN,MT-ND5,MGST3,RPL15,SUPT5H
PRDX1,TMSB4X,MTRNR2L12,ENO1,RPL37,ADRM1
PDLIM5,MYL6,MALAT1,CHCHD10,RPL5,MTCH2
AKR1C1,VIM,MT-ND6,LY6E,RPL13A,ALDH16A1
PCBD1,LGALS1,MT-ND4L,ALX1,RPS12,NTMT1
PGD,RDX,NEAT1,NDUFAB1,RPL6,COX6A1
GSTP1,ACTB,VMP1,VDAC2,HSP90AB1,HDGFL3
S100A6,NPC2,ITGB1,SLC16A4,RPL10,CPSF3
RPL35,TAGLN2,ABCC3,IGFBP3,RPL24,RPAIN
PLAAT3,KRT81,HSPA5,TMEM205,RPL13,TXNDC17
BLVRB,TMSB10,MTRNR2L8,MUC5B,RPL34,EIF4A3
ATP5MC1,S100A11,SLC3A2,MIF,ANXA1,SEPTIN9
PTGR1,CAVIN1,MT-ATP8,CFD,RPL26,FN3KRP
KRT10,TGM2,PRKDC,FTH1,TMSB10,ATP5PF
G6PD,IGFBP7,PDIA3,CYCS,RPS4X,RPS27L
LDHB,PDLIM7,ATP2A2,TESC,RPLP0,NUMB
HMGA1,RPL10,FLNA,TPI1,EEF1G,COX7A2L
NME1,GLIPR1,PAPPA,RPS2,RPL23,RPS19
S100A4,ANXA2,HSP90B1,G6PD,ACTG1,UBALD2
MPC2,PFN1,DYNC1H1,SUSD2,RPL9,RPS9
EIF1,CD59,SAT1,METRN,HSP90AA1,SNHG25
GAPDH,RPS19,CANX,GPX4,PRDX1,OCIAD1
HSPE1,RPLP1,CYP24A1,ODC1,EEF1D,PDLIM1
CPLX2,TNFRSF12A,POLR2J3,CTSC,RPS23,SF3B2
ANAPC11,CSRP1,SPTBN1,CYC1,RPL7,PTHLH
TXNRD1,NRG1,PSAP,CLIC1,RPS6,C1QBP
RPL19,PTMS,RNF213,BLVRB,RPL3,KDM6B
RPL23A,DUSP1,APLP2,KRT18,RPS29,HCFC1R1
DBI,RPL12,DCBLD2,LINC02762,RPS27A,USP15
TKT,TGFB1I1,ASPH,OAZ1,RPL7A,EIF3G
COX6B1,HSPB1,TGFBI,TRMT112,NQO1,COX6C
POLR2I,RPL7A,FLNB,NDUFB10,RPL41,AC009318.1
